stkcod,stkdes,docdat,loccod,trnqty               ,tqucod, unitpr                 ,trnbal,newbal,
U-BKMX0964-1200,BINSIN-KM964-ดำ[BLACK],31/3/2015,01 ,24,คู่, 180.00 ,4320,,
U-BKMX0964-1700,BINSIN-KM964-น้ำตาล[BROWN],31/3/2015,01 ,168,คู่, 180.00 ,30240,,
U-BKMX0964-1800,BINSIN-KM964-กรม[NAVY],31/3/2015,01 ,204,คู่, 180.00 ,36720,,
U-BKMX0965-1213,BINSIN-KM965-ดำขาว[BLACK/WHITE],31/3/2015,01 ,288,คู่, 210.00 ,60480,,
U-BKMX0965-1229,BINSIN-KM965-ดำทอง[BLACK/GOLD],31/3/2015,01 ,168,คู่, 210.00 ,35280,,
U-BKMX0965-1716,BINSIN-KM965-น้ำตาลน้ำตาลอ่อน[BROWN/COFFEE],31/3/2015,01 ,168,คู่, 210.00 ,35280,,
U-BKMX0965-2324,BINSIN-KM965-เทาส้ม[GREY/ORANGE],31/3/2015,01 ,348,คู่, 210.00 ,73080,,
U-BKMX0966-1229,BINSIN-KM966-ดำทอง[BLACK/GOLD],31/3/2015,01 ,396,คู่, 210.00 ,83160,,
U-BKMX0966-1523,BINSIN-KM966-แดงเทา[RED/GREY],31/3/2015,01 ,468,คู่, 210.00 ,98280,,
U-BKMX0966-1924,BINSIN-KM966-ฟ้าส้ม[LT.BLUE/ORANGE],31/3/2015,01 ,60,คู่, 210.00 ,12600,,
U-BKMX0966-2421,BINSIN-KM966-ส้มเหลือง[ORANGE/YELLOW],31/3/2015,01 ,60,คู่, 210.00 ,12600,,
U-BKMX0967-1200,BINSIN-KM967-ดำ[BLACK],31/3/2015,01 ,168,คู่, 160.00 ,26880,,
U-BKMX0967-1700,BINSIN-KM967-น้ำตาล[BROWN],31/3/2015,01 ,192,คู่, 160.00 ,30720,,
U-BKMX0967-1800,BINSIN-KM967-กรม[NAVY],31/3/2015,01 ,276,คู่, 160.00 ,44160,,
U-BKMX0967-2300,BINSIN-KM967-เทา[GREY],31/3/2015,01 ,228,คู่, 160.00 ,36480,,
U-BKMX0968-1215,BINSIN-KM968-ดำแดง[BLACK/RED],31/3/2015,01 ,60,คู่, 120.00 ,7200,,
U-BKMX0968-1312,BINSIN-KM968-ขาวดำ[WHITE/BLACK],31/3/2015,01 ,480,คู่, 240.00 ,115200,,
U-BKMX0968-1315,BINSIN-KM968-ขาวแดง[WHITE/RED],31/3/2015,01 ,528,คู่, 240.00 ,126720,,
U-BKMX0968-1322,BINSIN-KM968-ขาวน้ำเงิน[WHITE/DR.BLUE],31/3/2015,01 ,252,คู่, 240.00 ,60480,,
U-BKMX0969-1215,BINSIN-KM969-ดำแดง[BLACK/RED],31/3/2015,01 ,204,คู่, 260.00 ,53040,,
U-BKMX0969-1222,BINSIN-KM969-ดำน้ำเงิน[BLACK/DR.BLUE],31/3/2015,01 ,228,คู่, 260.00 ,59280,,
U-BKMX0969-2221,BINSIN-KM969-น้ำเงินเหลือง[DR.BLUE/YELLOW],31/3/2015,01 ,312,คู่, 260.00 ,81120,,
