date,code,from_location,to_location,item_code,request_qty,transfer_qty
"2024-07-11 20:56:55",WW-240700001,AFG-0000-0012,SH-0008-S-1008,WA-FBA055-AA-3L,1.00, 1.00
"2024-07-11 20:56:55",WW-240700001,AFG-0000-0012,SH-0008-S-1008,WA-FBA055-AA-2L,1.00, 1.00
